time,全国,湖北,北京,广东,山东,上海,广西,黑龙江,江苏,河北,天津,江西,四川,湖南,云南,浙江,台湾,河南,重庆,贵州,香港,安徽,海南,澳门,辽宁,福建,山西,宁夏,吉林,内蒙古,陕西,新疆,甘肃,青海,西藏
2020/1/22,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/23,25,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/24,41,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/25,56,52,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/26,80,76,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/27,106,100,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/28,132,125,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/29,170,162,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/30,213,204,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/31,259,249,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/1,304,294,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/2,361,350,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/3,425,414,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/4,491,479,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/5,564,549,1,0,0,1,0,3,0,1,1,0,1,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/6,636,618,1,1,0,1,0,3,0,1,1,0,1,0,0,0,0,3,2,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0
2020/2/7,724,699,2,1,0,1,0,5,0,1,1,0,1,1,0,0,0,4,2,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0
2020/2/8,811,780,2,1,1,1,1,6,0,2,1,1,1,1,0,0,0,6,2,1,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0
2020/2/9,908,871,2,1,1,1,1,7,0,2,1,1,1,1,0,0,0,6,2,1,1,3,3,0,0,0,0,0,1,0,0,0,2,0,0
2020/2/10,1016,974,3,1,1,1,1,8,0,2,2,1,1,1,0,0,0,7,2,1,1,4,3,0,0,0,0,0,1,0,0,0,2,0,0
2020/2/11,1113,1068,3,1,1,1,1,8,0,2,2,1,1,2,0,0,0,8,3,1,1,4,3,0,0,0,0,0,1,0,0,0,2,0,0
2020/2/12,1259,1202,3,2,2,1,2,9,0,3,3,1,1,2,0,0,0,10,3,1,1,5,4,0,1,0,0,0,1,0,0,1,2,0,0
2020/2/13,1380,1318,3,2,2,1,2,11,0,3,3,1,1,2,0,0,0,11,4,1,1,6,4,0,1,0,0,0,1,0,0,1,2,0,0
2020/2/14,1381,1318,3,2,2,1,2,11,0,3,3,1,1,2,0,0,0,11,5,1,1,6,4,0,1,0,0,0,1,0,0,1,2,0,0
