time,全国,湖北,北京,广东,山东,上海,广西,黑龙江,江苏,河北,天津,江西,四川,湖南,云南,浙江,台湾,河南,重庆,贵州,香港,安徽,海南,澳门,辽宁,福建,山西,宁夏,吉林,内蒙古,陕西,新疆,甘肃,青海,西藏
2020/1/22,95,95,,15,,1,,,,,,2,0,4,0,2,,0,3,0,,0,0,,0,0,0,,,0,0,0,0,0,0
2020/1/23,177,129,,15,,2,,,0,,,2,2,6,0,6,,3,6,0,,0,0,,3,0,0,1,,0,0,0,0,0,0
2020/1/24,237,157,1,19,,2,,,0,,6,4,2,15,0,7,,5,9,0,,0,0,,9,0,0,,1,0,0,0,0,0,0
2020/1/25,324,129,1,23,,1,,1,0,,7,6,3,20,1,14,,13,11,0,,0,0,,12,0,0,,,0,0,0,1,0,0
2020/1/26,461,290,,26,,1,3,3,1,,11,6,3,22,2,18,,17,14,1,,0,1,,12,3,0,,,0,2,1,3,0,0
2020/1/27,976,690,14,29,,2,5,3,1,,17,7,2,31,2,31,,30,16,1,,0,5,,14,4,2,,,0,,2,4,0,0
2020/1/28,1239,899,,31,,2,5,4,1,4,17,11,3,38,6,42,,34,19,1,,0,9,,6,15,2,,,4,,4,3,0,0
2020/1/29,1370,988,16,46,,4,7,6,1,8,13,16,2,29,7,54,,41,22,3,,0,7,,8,15,2,,1,4,1,4,6,0,0
2020/1/30,1527,1094,,50,11,5,7,7,2,7,13,33,4,34,8,50,,42,22,4,,3,8,,8,12,2,1,2,5,,4,6,1,0
2020/1/31,1795,1294,,68,13,9,10,12,2,8,14,33,4,35,8,51,,41,26,5,,3,9,,6,11,3,2,,5,,5,6,1,0
2020/2/1,2110,1562,,70,16,11,8,13,1,9,16,32,5,44,9,52,,32,32,8,,4,10,,5,12,4,4,4,4,1,5,7,1,0
2020/2/2,2296,1701,11,77,17,12,8,15,2,12,18,34,9,47,10,58,,44,33,10,,4,10,,5,20,5,4,5,,,8,5,1,0
2020/2/3,2788,2143,9,86,22,14,12,17,2,12,18,37,13,51,10,58,,54,34,12,,5,10,,6,22,5,6,5,,1,10,9,1,0
2020/2/4,3219,2520,10,98,25,15,14,21,5,12,21,43,14,57,16,65,,57,34,8,,5,11,,6,23,8,6,5,,,10,10,1,0
2020/2/5,3859,3084,11,115,31,16,15,24,3,13,24,53,18,61,15,66,,62,43,13,,6,14,,7,20,11,3,5,,,9,8,1,0
2020/2/6,4821,4002,15,119,28,18,15,28,5,14,35,58,19,57,18,72,,75,45,10,,6,15,,8,19,11,1,4,,,9,8,1,0
2020/2/7,6101,5195,14,122,32,20,15,38,6,16,37,61,20,57,18,78,,86,48,18,,6,13,,14,20,12,1,6,,,11,9,1,0
2020/2/8,6188,5247,18,129,32,20,13,45,8,17,35,65,21,60,17,77,,90,49,20,,5,16,,15,22,13,2,4,,,13,8,1,0
2020/2/9,6484,5505,17,141,29,20,14,44,8,22,33,57,18,65,17,80,,94,56,21,,7,16,,14,21,15,3,5,,,16,7,1,0
2020/2/10,7333,6344,18,124,27,20,14,52,9,21,32,58,17,62,18,87,,91,58,20,,6,15,,14,24,17,4,5,8,,16,8,3,0
2020/2/11,8204,7241,19,118,26,19,14,63,9,22,33,53,17,62,18,80,,92,53,16,,11,14,,14,24,12,4,5,8,,15,8,3,0
2020/2/12,8030,7084,22,112,26,16,14,62,9,19,32,54,17,60,17,79,,92,53,14,,,11,,11,23,13,,6,9,,14,7,3,,
2020/2/13,10204,9278,22,105,26,16,16,61,10,19,,57,,55,17,81,,83,51,13,,11,13,,11,21,11,,6,9,,14,7,3,,
