time,全国,湖北,北京,广东,山东,上海,广西,黑龙江,江苏,河北,天津,江西,四川,湖南,云南,浙江,台湾,河南,重庆,贵州,香港,安徽,海南,澳门,辽宁,福建,山西,宁夏,吉林,内蒙古,陕西,新疆,甘肃,青海,西藏
2020/1/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/5,1153,633,31,49,18,15,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/6,1540,817,33,68,31,25,17,8,38,16,2,45,37,91,7,98,,,,,,,,1,,15,12,1,4,4,11,0,9,3,
2020/2/7,2050,1115,34,97,38,30,17,12,43,25,2,55,50,119,12,127,1,97,31,6,,47,11,1,7,20,15,3,4,5,17,0,9,3,
2020/2/8,2649,1439,37,125,50,41,18,13,51,30,4,72,60,159,17,173,1,131,39,7,,59,15,1,8,24,21,13,5,5,20,0,12,3,
2020/2/9,3280,1795,44,143,63,44,18,15,72,35,4,102,76,186,18,201,1,169,51,7,,73,16,1,12,35,25,13,12,,26,0,16,3,,
2020/2/10,3996,2222,48,181,71,48,30,27,84,41,8,127,82,213,19,250,1,198,66,10,,88,19,1,12,39,26,14,13,5,31,0,21,3,,
2020/2/11,4740,2639,56,241,80,53,31,28,94,48,10,152,85,263,20,279,1,231,79,17,,108,20,1,19,46,30,22,18,5,36,3,24,5,,
2020/2/12,5642,3172,68,284,98,57,33,31,131,54,11,170,93,312,23,327,1,258,79,20,,128,27,1,19,54,33,24,22,6,42,3,31,9,1,,
2020/2/13,6723,3862,79,332,111,62,35,37,137,69,,187,105,352,27,367,1,313,128,28,,166,30,3,22,59,36,24,25,6,49,6,39,11,1
