疫情序号,时间,省份,显示地点,累计感染（人）,累计出院（人）,在治重症（人）,累计死亡（人）
1,2019/12/31,湖北,武汉,27,2,7,0
2,2020/1/12,湖北,武汉,41,6,7,1
3,2020/1/13,湖北,武汉,41,7,6,1
4,2020/1/14,湖北,武汉,41,7,6,1
5,2020/1/15,湖北,武汉,41,7,6,1
6,2020/1/16,湖北,武汉,41,12,5,2
7,2020/1/18,湖北,武汉,45,15,5,2
8,2020/1/19,湖北,武汉,62,19,8,2
9,2020/1/20,湖北,武汉,198,25,44,3
10,2020/1/19,广东,深圳,1,,,
11,2020/1/20,广东,深圳,9,,,
12,2020/1/20,广东,珠海,3,,,
13,2020/1/20,广东,惠州,1,,,
14,2020/1/20,广东,湛江,1,,,
15,2020/1/20,上海,上海,1,,,
16,2020/1/21,上海,上海,6,,,
17,2020/1/21,湖北,武汉,258,25,63,6
18,2020/1/21,湖北,黄冈,12,,,
19,2020/1/21,浙江,杭州,1,,,
20,2020/1/21,浙江,温州,2,,,
21,2020/1/21,浙江,舟山,1,,,
22,2020/1/21,浙江,台州,1,,,
23,2020/1/21,天津,西青区,1,,,
24,2020/1/21,天津,河东区,1,,,
25,2020/1/21,台湾,台湾,1,,,
26,2020/1/21,河南,郑州,1,,,
27,2020/1/21,山东,青岛,1,,,
28,2020/1/21,四川,成都,1,,,
29,2020/1/21,广东,深圳,10,,,
30,2020/1/21,广东,珠海,4,,,
31,2020/1/21,广东,湛江,2,,,
32,2020/1/21,湖南,长沙,1,,,
33,2020/1/21,江西,抚州,1,,,
34,2020/1/21,江西,萍乡,1,,,
35,2020/1/21,四川,广安,1,,,
36,2020/1/21,云南,昆明,1,,,
37,2020/1/22,上海,上海,9,,,
38,2020/1/22,澳门,澳门,1,,,
39,2020/1/22,广东,广州,2,,,
40,2020/1/22,广东,深圳,14,,,
41,2020/1/22,广东,珠海,4,,,
42,2020/1/22,广东,佛山,1,,,
43,2020/1/22,广东,韶关,2,,,
44,2020/1/22,广东,湛江,2,,,
,2020/1/22,广东,惠州,1,,,
45,2020/1/22,浙江,温州,4,,,
46,2020/1/22,浙江,宁波,3,,,
47,2020/1/22,天津,河东区,1,,,
48,2020/1/22,天津,西青区,1,,,
49,2020/1/22,天津,南开区,1,,,
50,2020/1/22,天津,和平区,1,,,
51,2020/1/24,天津,河东区,2,,,
52,2020/1/24,天津,西青区,1,,,
53,2020/1/24,天津,南开区,1,,,
54,2020/1/24,天津,和平区,1,,,
55,2020/1/24,天津,河北区,2,,,
56,2020/1/24,天津,滨海新区,1,,,
57,2020/1/22,海南,三亚,1,,,
58,2020/1/22,海南,海口,1,,,
59,2020/1/22,海南,万宁,1,,,
60,2020/1/22,海南,临高,1,,,
61,2020/1/22,辽宁,大连,1,,,
62,2020/1/22,辽宁,抚顺,1,,,
63,2020/1/22,安徽,合肥,1,,,
64,2020/1/22,福建,福州,1,,,
65,2020/1/22,贵州,贵阳,1,,,
66,2020/1/22,山东,威海,1,,,
67,2020/1/22,山西,太原,1,,,
68,2020/1/22,四川,成都,2,,,
69,2020/1/22,四川,绵阳,2,,,
70,2020/1/22,河南,三门峡,1,,,
71,2020/1/22,河南,洛阳,1,,,
72,2020/1/22,河南,郑州,2,,,
73,2020/1/22,河南,巩义,1,,,
74,2020/1/22,广西,北海,1,,,
75,2020/1/22,广西,梧州,1,,,
76,2020/1/22,宁夏,银川,1,,,
77,2020/1/22,湖南,怀化,3,,,
78,2020/1/22,湖北,武汉,363,,,9
79,2020/1/22,湖北,黄冈,12,,,
80,2020/1/22,河北,石家庄,1,,,
81,2020/1/23,黑龙江,牡丹江,1,,,
82,2020/1/23,山东,青岛,3,,,
83,2020/1/23,山东,临沂,2,,,
84,2020/1/23,江苏,南京,2,,,
85,2020/1/23,江苏,苏州,1,,,
86,2020/1/23,江苏,扬州,1,,,
87,2020/1/23,江苏,连云港,1,,,
88,2020/1/23,四川,成都,4,,,
89,2020/1/23,四川,达州,1,,,
90,2020/1/23,广西,北海,3,,,
91,2020/1/23,广西,柳州,1,,,
92,2020/1/23,澳门,澳门,2,,,
93,2020/1/23,香港,香港,1,,,
94,2020/1/23,福建,厦门,1,,,
95,2020/1/23,福建,泉州,1,,,
96,2020/1/23,福建,宁德,1,,,
97,2020/1/23,吉林,长春,1,,,
98,2020/1/23,湖南,长沙,4,,,
99,2020/1/23,湖南,永州,1,,,
100,2020/1/23,湖南,郴州,1,,,
101,2020/1/23,广东,广州,5,,,
102,2020/1/23,广东,深圳,15,,,
103,2020/1/23,广东,中山,1,,,
104,2020/1/23,广东,肇庆,1,,,
105,2020/1/23,江西,南昌,1,,,
106,2020/1/23,贵州,铜仁,1,,,
107,2020/1/23,贵州,黔南,1,,,
108,2020/1/23,辽宁,沈阳,1,,,
109,2020/1/23,浙江,杭州,6,,,
110,2020/1/23,浙江,宁波,5,,,
111,2020/1/23,浙江,温州,6,,,
112,2020/1/23,浙江,绍兴,1,,,
113,2020/1/23,浙江,舟山,1,,,
114,2020/1/23,浙江,金华,1,,,
115,2020/1/23,浙江,衢州,1,,,
116,2020/1/23,浙江,台州,6,,,
117,2020/1/23,安徽,合肥,5,,,
118,2020/1/23,安徽,六安,1,,,
119,2020/1/23,安徽,滁州,1,,,
120,2020/1/23,安徽,阜阳,1,,,
121,2020/1/23,安徽,亳州,1,,,
122,2020/1/23,黑龙江,哈尔滨,1,,,
123,2020/1/23,福建,福州,2,,,
124,2020/1/23,海南,三亚,2,,,
125,2020/1/23,新疆,新疆,2,,,
126,2020/1/23,甘肃,兰州,1,,,
127,2020/1/23,甘肃,白银,1,,,
128,2020/1/23,陕西,咸阳,1,,,
129,2020/1/23,陕西,西安,2,,,
130,2020/1/23,香港,香港,2,,,
131,2020/1/23,湖北,武汉,425,,,
132,2020/1/23,湖北,荆州,6,,,
