time,全国,湖北,北京,广东,山东,上海,广西,黑龙江,江苏,河北,天津,江西,四川,湖南,云南,浙江,台湾,河南,重庆,贵州,香港,安徽,海南,澳门,辽宁,福建,山西,宁夏,吉林,内蒙古,陕西,新疆,甘肃,青海,西藏
2020/1/25,2684,1887,0,40,11,95,21,13,0,5,61,30,34,25,29,20,,165,146,2,,15,1,,25,27,28,1,,,,,,,
2020/1/26,5794,4472,0,54,35,90,40,47,0,13,85,68,92,42,75,63,,212,188,3,,43,0,,40,59,57,6,,1,,,,,
2020/1/27,6973,5324,0,73,42,129,11,67,0,20,88,88,138,52,104,115,,266,219,1,,42,21,,52,68,44,2,,2,,,,,
2020/1/28,9239,6940,0,122,55,167,118,68,0,56,103,107,182,85,163,101,,411,246,3,,55,48,,72,80,41,3,,2,,,,,
2020/1/29,12167,9033,0,137,79,180,155,105,0,68,104,123,243,223,191,117,,584,279,6,,67,66,,85,110,54,1,10,3,116,,,1,
2020/1/30,15238,11272,0,151,90,164,256,128,0,78,150,197,241,303,236,154,,735,378,75,,98,73,,89,116,67,1,13,4,132,,,,
2020/1/31,17988,13577,0,126,83,167,288,149,42,88,142,260,256,426,228,202,,751,408,67,,117,95,,122,111,75,1,19,6,158,,,1,
2020/2/1,19544,14872,0,157,81,168,319,172,47,104,112,312,247,434,261,207,,754,425,59,,160,101,,116,99,64,8,14,7,201,,10,3,
2020/2/2,21558,16898,0,205,62,173,330,163,44,108,133,359,268,351,252,201,,760,398,41,,153,113,,113,96,64,12,17,3,205,,13,,0
2020/2/3,23214,18549,141,180,70,168,364,178,47,93,168,319,258,289,225,258,,678,387,33,,124,109,,120,87,62,18,24,3,221,,9,,
2020/2/4,23260,18447,160,136,94,229,396,184,43,117,190,343,281,211,172,299,,693,397,33,,130,118,,127,91,42,24,58,4,215,,17,,
2020/2/5,24702,19728,170,148,85,196,391,222,55,133,190,312,340,207,149,322,,688,379,37,,141,132,,143,78,42,39,69,7,238,,14,,
2020/2/6,26359,21261,157,170,96,166,340,210,59,117,228,249,409,183,123,422,,654,408,54,,141,150,,169,94,54,45,71,9,260,,21,,
2020/2/7,27657,22433,163,195,100,181,295,234,68,81,297,218,432,154,144,345,,651,392,61,,140,203,,226,99,58,41,67,10,321,,21,,
2020/2/8,28942,23638,184,208,88,205,283,258,67,76,287,200,431,155,146,345,,600,409,82,,126,230,,263,85,71,36,56,11,343,,18,,
2020/2/9,23589,18438,207,169,75,223,243,224,67,61,292,183,461,134,125,334,,588,418,75,,115,219,,280,81,63,34,40,13,375,,15,,
2020/2/10,21675,16687,236,148,66,180,257,181,64,44,278,170,475,136,109,305,,573,427,75,,92,187,,331,72,58,33,47,11,389,,20,,
2020/2/11,16067,11295,218,135,71,177,248,171,64,43,278,170,475,136,89,305,,573,427,53,,92,187,,331,74,65,31,57,11,389,,17,,,
2020/2/12,13435,9028,194,123,69,183,251,146,59,37,354,120,367,96,100,196,,479,441,50,,69,176,,287,69,72,28,55,13,304,,22,,,
2020/2/13,10109,6169,167,17,83,156,232,146,59,37,354,120,367,96,96,,,,,47,,69,176,,287,73,71,30,55,12,267,,12,,,
